uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score
73,/root/mainnet/NASChain/cache/models--RobertML--naschain/snapshots/70462cd21df12375443d9f1244f6e458fe774059/model.pt,70462cd21df12375443d9f1244f6e458fe774059,2024-07-12 21:50:24+00:00,2024-07-22 15:16:03,1084000.0,93.0,True,False,False,False,RobertML/naschain,591.0,0.0
89,/root/mainnet/NASChain/cache/models--otis06081996--naschainv89/snapshots/6ecba34392be23957e93ae3f5958f7715228bbd6/model.pt,6ecba34392be23957e93ae3f5958f7715228bbd6,2024-07-18 15:16:43+00:00,2024-07-22 15:16:41,12000.0,80.0,True,False,False,True,otis06081996/naschainv89,10.0,0.0
102,/root/mainnet/NASChain/cache/models--beckham20031992--naschainv102/snapshots/ccd2d2a8fc87a9e44eb89b04c634f8f93dc78364/model.pt,ccd2d2a8fc87a9e44eb89b04c634f8f93dc78364,2024-07-26 13:52:47+00:00,2024-07-28 02:14:55,108000.0,90.0,True,False,False,True,beckham20031992/naschainv102,110.0,0.0
123,/root/mainnet/NASChain/cache/models--khanhnn55--naschainv8/snapshots/1b18166a1513b13181e64dc997f28940e69ae640/model.pt,1b18166a1513b13181e64dc997f28940e69ae640,2024-07-20 02:56:02+00:00,2024-07-22 15:18:04,626000.0,93.0,True,True,True,True,khanhnn55/naschainv8,388.0,0.03282747765652784
125,/root/mainnet/NASChain/cache/models--beckham20031992--naschainv125/snapshots/3698c74b7ed01651a18e29e8f588940ab2c8ad1d/model.pt,3698c74b7ed01651a18e29e8f588940ab2c8ad1d,2024-07-19 22:28:42+00:00,2024-07-22 15:18:11,15000.0,82.0,True,False,False,True,beckham20031992/naschainv125,15.0,0.0
126,/root/mainnet/NASChain/cache/models--papagruz9--naschain/snapshots/610ff7b0e09d3cb72e2239c406d91bc9eaf3c51a/model.pt,610ff7b0e09d3cb72e2239c406d91bc9eaf3c51a,2024-07-15 09:09:39+00:00,2024-07-22 15:18:19,35000.0,84.0,True,False,False,True,papagruz9/naschain,20.0,0.0
130,/root/mainnet/NASChain/cache/models--papagruz5--naschain/snapshots/81845c4aac5f97089cbc18fffcbe915198a0d16e/model.pt,81845c4aac5f97089cbc18fffcbe915198a0d16e,2024-07-15 09:08:43+00:00,2024-07-22 15:18:33,829000.0,93.0,True,False,False,False,papagruz5/naschain,526.0,0.0
133,/root/mainnet/NASChain/cache/models--ListIn360--naschain/snapshots/c893dbce9837b5c4586c490bfe84dfc81d7e5413/model.pt,c893dbce9837b5c4586c490bfe84dfc81d7e5413,2024-07-17 13:44:32+00:00,2024-07-22 15:18:40,15000.0,82.0,True,False,False,True,ListIn360/naschain,12.0,0.0
138,/root/NASChain/cache/models--impossibleexchange--nas3/snapshots/e6771fc8686a3545f893958ab08412beaa111793/model.pt,e6771fc8686a3545f893958ab08412beaa111793,2024-08-03 17:18:29+00:00,2024-08-03 21:46:20,1071000.0,81.0,True,False,False,False,impossibleexchange/nas3,13.0,0.0
145,/root/NASChain/cache/models--net31--naschainv145/snapshots/2e2ddf06a5173a14181aca3395be5e0ee1c27da7/model.pt,2e2ddf06a5173a14181aca3395be5e0ee1c27da7,2024-08-07 06:47:02+00:00,2024-08-07 07:32:33,222000.0,90.0,True,True,True,True,net31/naschainv145,45.0,0.03516612182918335
147,/root/NASChain/cache/models--beckham20031992--naschainv147/snapshots/42608af604289561c82aefe0acc28fba20bbd9a4/model.pt,42608af604289561c82aefe0acc28fba20bbd9a4,2024-08-02 00:28:25+00:00,2024-08-02 00:29:06,815000.0,93.0,True,False,False,False,beckham20031992/naschainv147,688.0,0.0
148,/root/NASChain/cache/models--net31--naschainv148/snapshots/b0b7fd148f9ceff17b0072706c48dd471ef3dd88/model.pt,b0b7fd148f9ceff17b0072706c48dd471ef3dd88,2024-08-08 09:17:36+00:00,2024-08-08 09:47:50,87000.0,83.0,True,False,False,True,net31/naschainv148,7.0,0.0
155,/root/mainnet/NASChain/cache/models--SynapticAI--naschain/snapshots/0b627397e304bb939795551c7bb89d469fd14443/model.pt,0b627397e304bb939795551c7bb89d469fd14443,2024-07-19 12:56:50+00:00,2024-07-22 15:19:43,25000.0,84.0,True,False,False,True,SynapticAI/naschain,17.0,0.0
